row_id,chain,source_run_id,token,pool,protocol,symbol,target_mechanism,confidence,as_of_block,label_block,trading_enabled_block,blocks_from_trading_enabled_to_removal,minutes_from_trading_enabled_to_removal,time_to_scam_bucket,pool_created_block,token_created_block,blocks_token_created_to_removal,creator_address,current_owner,ownership_renounced_current,current_owner_is_zero_address,current_owner_is_creator,token_total_supply_scaled,pool_token_supply_percent_at_label,price_ratio_to_initial_at_label,liquidity_eth_at_label,liquidity_level_at_label,max_liquidity_eth_before_removal,denom_reserve_ratio_to_max_at_removal,denom_reserve_at_removal,token_reserve_at_removal,buy_tax_at_label,sell_tax_at_label,tax_bucket_at_label,can_buy_at_label,can_sell_at_label,has_observed_buy,has_observed_sell,lp_supply_known,lp_supply_status,lp_total_supply_current,lp_holder_count_current,lp_transfer_count_current,lp_approval_count_current,lp_holders_with_approvals_current,lp_approved_percentage_current,lp_total_approved_to_routers_current,lp_first_approval_block,lp_last_approval_block,lp_any_approval_pre_removal,lp_approval_count_pre_removal,lp_approval_count_same_block,lp_first_pre_removal_approval_block,lp_last_pre_removal_approval_block,lp_first_pre_removal_approval_owner,lp_first_pre_removal_approval_spender,lp_first_pre_removal_approval_is_router,lp_last_pre_removal_approval_owner,lp_last_pre_removal_approval_spender,lp_last_pre_removal_approval_is_router,lp_last_pre_removal_approval_owner_is_creator,lp_last_pre_removal_approval_owner_is_current_owner,blocks_lp_first_approval_to_removal,blocks_lp_first_pre_removal_approval_to_removal,blocks_lp_last_pre_removal_approval_to_removal,blocks_trading_enabled_to_lp_first_approval,blocks_trading_enabled_to_lp_first_pre_removal_approval,blocks_trading_enabled_to_lp_last_pre_removal_approval,blocks_pool_created_to_lp_first_approval,blocks_pool_created_to_lp_first_pre_removal_approval,blocks_pool_created_to_lp_last_pre_removal_approval,lp_last_approval_pre_removal,blocks_lp_last_approval_to_removal,lp_last_approval_owner,lp_last_approval_spender,lp_last_approval_is_router,lp_same_tx_approval_and_removal,top_lp_holder_share_current,top_liquidity_position_share_current,pre_label_activity_blocks,pre_label_tx_count,pre_label_token_transfer_count,pre_label_denom_transfer_count,pre_label_buy_volume_eth,pre_label_sell_volume_eth,pre_label_bribe_eth,pre_label_first_activity_block,pre_label_last_activity_block,blocks_pre_label_last_activity_to_label,pre_label_active_density,pre_label_tx_per_active_block,pre_label_net_buy_volume_eth,pre_label_buy_sell_volume_ratio,pre_label_denom_token_transfer_ratio,pre_label_active_blocks_last_10,pre_label_tx_count_last_10,pre_label_active_blocks_last_100,pre_label_tx_count_last_100,pre_label_active_density_last_10,pre_label_active_density_last_100,pre_label_tx_share_last_10,pre_label_tx_share_last_100,network_address_count_current,network_node_count_current,network_edge_count_current,network_feature_scope,activity_feature_scope,lp_feature_scope,removal_tx,burn_event_present,evidence_summary
directlp-0001,ethereum,run-2,0xd3244ce6f7cff18b96cf94b00d853898d88eb83b,0x497847f503b95452f0af3c29d6bcf19e858f602f,UNISWAP-V2,PRTAL,direct_lp_liquidity_removal,verified,24995032,24995033,24995006,27,5.4,early_11_to_100,24995006,24994985,48,0x705612655fb4e528ca8cb051cfca39a0a72dfd9e,0x705612655fb4e528ca8cb051cfca39a0a72dfd9e,false,false,true,100000000,2.59e-13,0.9969111969,3.873e-15,drained,1.5,2.582e-15,3.873e-15,2.59e-07,14.72,15,moderate_tax,false,false,false,false,true,observed,0,2,4,2,2,0,-0,24995006,24995033,true,1,1,24995006,24995006,0xd3244ce6f7cff18b96cf94b00d853898d88eb83b,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,false,0xd3244ce6f7cff18b96cf94b00d853898d88eb83b,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,false,false,false,27,27,27,0,0,0,0,0,0,false,,0x705612655fb4e528ca8cb051cfca39a0a72dfd9e,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,false,true,0,,3,3,3,1,0,0,0,24994985,24995006,27,0.0625,1,0,,0.3333333333,0,0,3,3,0,0.03,0,1,0,0,0,current_token_detail_not_time_sliced,recent_block_activity_filtered_to_as_of_block,current_lp_state_approval_same_block_as_removal,0xe702229be82a554a0c91bc2f30059e4cd442f5c02916fdf27988c9cb27115e45,true,removal_block=24995033; burn_event_present=True; max_liquidity_before=1.5; reserve_ratio_to_max=2.582e-15
directlp-0002,ethereum,run-2,0x39b4222cdb464526ee1ccf45a14a74ca77c6ba51,0x17403fb120e0a1a5e7b1f2f49355a3ac606b3a12,UNISWAP-V3,MERIT,direct_lp_liquidity_removal,verified,24995033,24995034,24994998,36,7.2,early_11_to_100,24994998,24994975,59,0x7ccde23881f329afafd9ac8f4ed5bc762c80e1b6,0x7ccde23881f329afafd9ac8f4ed5bc762c80e1b6,false,false,true,1e+12,0,,0,drained,0.3678493391,0,0,0,,,unknown,false,false,true,false,true,observed,0,0,2,0,0,0,0,,,false,0,0,,,,,,,,,,,,,,,,,,,,false,,,,,false,,,9,9,6,3,0.023266,0,0,24994975,24995018,16,0.1525423729,1,0.023266,,0.5,0,0,9,9,0,0.09,0,1,0,0,0,current_token_detail_not_time_sliced,recent_block_activity_filtered_to_as_of_block,current_lp_state_no_approval_observed,0x8f4f769de07987a0b21b6b1ade03bd67e7913eaafb09c597c7fa5e485026ceb1,true,removal_block=24995034; burn_event_present=True; max_liquidity_before=0.3678493391; reserve_ratio_to_max=0
directlp-0003,ethereum,run-2,0x2c896018d3a353a8ce8542a77b01819a77e4cdd6,0x2db186a601541710d63c96d9613083681bc4b1d0,UNISWAP-V2,BOD,direct_lp_liquidity_removal,verified,24995097,24995098,24995009,89,17.8,early_11_to_100,24995005,24994994,104,0xa1f48f4f0649cc662263875fafc2cc46200a5d22,,false,,,220000000,0.005501004592,1.551170261,0.000187725884,dust,2.544911625,7.37651878e-05,0.000187725884,12102.2101,0,98.99,extreme_tax,false,false,true,true,true,observed,4.764647796e-05,2,5,1,1,-0,-0,24995094,24995094,true,1,0,24995094,24995094,0xa1f48f4f0649cc662263875fafc2cc46200a5d22,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,false,0xa1f48f4f0649cc662263875fafc2cc46200a5d22,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,false,true,,4,4,4,85,85,85,89,89,89,true,4,0xa1f48f4f0649cc662263875fafc2cc46200a5d22,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,false,false,100,,25,74,94,49,0.5949116254,0.1028655519,0,24994994,24995094,4,0.2403846154,2.96,0.4920460735,5.783390205,0.5212765957,1,1,24,73,0.1,0.24,0.01351351351,0.9864864865,0,0,0,current_token_detail_not_time_sliced,recent_block_activity_filtered_to_as_of_block,current_lp_state_has_pre_removal_approval,0x3aaf36eb0541265d379d15a60e9e6922da59eec91c556d3ca5715b943baeb703,true,removal_block=24995098; burn_event_present=True; max_liquidity_before=2.544911625; reserve_ratio_to_max=7.37651878e-05
directlp-0004,ethereum,run-2,0x4335dd5f878e44a687ef8f714e61dbdbd2db206d,0xc5624efdc782774ed5260f68b124e59209fee2fa,UNISWAP-V3,INSULIN,direct_lp_liquidity_removal,verified,24995161,24995162,24995141,21,4.2,early_11_to_100,24995141,24995134,28,0x721fdd9788386e0a25af344c480200d2efb0728a,0x721fdd9788386e0a25af344c480200d2efb0728a,false,false,true,1e+12,0,,0,drained,0.3712258475,0,0,0,,,unknown,false,false,true,false,true,observed,0,0,2,0,0,0,0,,,false,0,0,,,,,,,,,,,,,,,,,,,,false,,,,,false,,,4,4,3,2,0.0009,0,0,24995134,24995155,7,0.1428571429,1,0.0009,,0.6666666667,1,1,4,4,0.1,0.04,0.25,1,0,0,0,current_token_detail_not_time_sliced,recent_block_activity_filtered_to_as_of_block,current_lp_state_no_approval_observed,0x161874aa8c0b38ac588234945c0bd1d5f22fc5dfa469f9a477a36b38fc57e9e4,true,removal_block=24995162; burn_event_present=True; max_liquidity_before=0.3712258475; reserve_ratio_to_max=0
directlp-0005,ethereum,run-2,0xb8fb4502fd3e98f5f6cc2d5876fcaa4c435932b9,0xebb269a7fd3f3d88e08d13e24fc21dc6e3625884,UNISWAP-V2,👑BR,direct_lp_liquidity_removal,verified,24995279,24995280,24995093,187,37.4,delayed_101_to_1000,24995093,24995090,190,0x370d6c0b34cf949e9dadb88ecac0e499d6be7337,,false,,,2010000000,2.251407332,7.415705094e-05,1.669577282e-06,drained,1.929578679,0.0001793929817,0.0003461528725,217222.761,0,0,no_tax,false,false,true,true,true,observed,8.662970666,2,5,1,1,-0,-0,24995094,24995094,true,1,0,24995094,24995094,0x370d6c0b34cf949e9dadb88ecac0e499d6be7337,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,false,0x370d6c0b34cf949e9dadb88ecac0e499d6be7337,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,false,true,,186,186,186,1,1,1,1,1,1,true,186,0x370d6c0b34cf949e9dadb88ecac0e499d6be7337,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,false,false,100,,22,22,18,17,0.97385,0.1820768088,0,24995090,24995216,64,0.1157894737,1,0.7917731912,5.348566939,0.9444444444,0,0,14,14,0,0.14,0,0.6363636364,0,0,0,current_token_detail_not_time_sliced,recent_block_activity_filtered_to_as_of_block,current_lp_state_has_pre_removal_approval,0xac2ebbfd951b822eaf0d8fd6ee0ac0790d5f7c8351ed518e45b66bac37bc3bee,true,removal_block=24995280; burn_event_present=True; max_liquidity_before=1.929578679; reserve_ratio_to_max=0.0001793929817
directlp-0006,ethereum,run-2,0x50fc231247c6327eed75a8e854fe5e717c4316dc,0xa78ed711503c03651a6618be58fab8e8cccb1e78,UNISWAP-V3,PAI,direct_lp_liquidity_removal,verified,24995308,24995309,24995270,39,7.8,early_11_to_100,24995270,24995261,48,0x30742322672cab181292eb105c0ca78f3850dcb0,0x30742322672cab181292eb105c0ca78f3850dcb0,false,false,true,1e+12,0,,0,drained,0.3051203943,0,0,0,,,unknown,false,false,true,true,true,observed,0,0,2,0,0,0,0,,,false,0,0,,,,,,,,,,,,,,,,,,,,false,,,,,false,,,5,5,3,3,0.002115853276,0,0,24995261,24995281,28,0.1041666667,1,0.002115853276,,1,0,0,5,5,0,0.05,0,1,0,0,0,current_token_detail_not_time_sliced,recent_block_activity_filtered_to_as_of_block,current_lp_state_no_approval_observed,0x93a7220768dc939bb8f4474fefd2b0aa10390ff5daa33de3455fb2d06ea0268f,true,removal_block=24995309; burn_event_present=True; max_liquidity_before=0.3051203943; reserve_ratio_to_max=0
directlp-0007,ethereum,run-2,0xc4e4e75fde67ca84b97d20bef43b37d4d356d16d,0xcc0a660c880281b0a33e9c0d3a6a71d795d53676,UNISWAP-V2,CROC,direct_lp_liquidity_removal,verified,24995310,24995311,24995289,22,4.4,early_11_to_100,24995281,24995275,36,0xdc225b30c156be18a431bd6a738001c09e4899df,0xdc225b30c156be18a431bd6a738001c09e4899df,false,false,true,1000000000,0.003078773905,2.305511666,0.0001088382871,dust,1.048308818,0.0001038193512,0.0001088347414,30788.73905,0,0,no_tax,false,false,true,false,true,observed,5.785677254e-05,2,5,1,1,-0,-0,24995309,24995309,true,1,0,24995309,24995309,0xdc225b30c156be18a431bd6a738001c09e4899df,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,false,0xdc225b30c156be18a431bd6a738001c09e4899df,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,false,true,true,2,2,2,20,20,20,28,28,28,true,2,0xdc225b30c156be18a431bd6a738001c09e4899df,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,false,false,100,,13,45,33,32,0.3583088183,0,0,24995275,24995309,2,0.3611111111,3.461538462,0.3583088183,,0.9696969697,1,1,13,45,0.1,0.13,0.02222222222,1,0,0,0,current_token_detail_not_time_sliced,recent_block_activity_filtered_to_as_of_block,current_lp_state_has_pre_removal_approval,0x9818a596b6d4fbda651bde9fbd4ca3bf247f7695dc0ecb0024e91396145659a6,true,removal_block=24995311; burn_event_present=True; max_liquidity_before=1.048308818; reserve_ratio_to_max=0.0001038193512
directlp-0008,ethereum,run-2,0x1b64c88ab2abd08d9a8bf0c85bac64d3619252a2,0xf272c7a9f220116ca820da17382879fd88054608,UNISWAP-V2,⚖️TIYIE,direct_lp_liquidity_removal,verified,24995368,24995369,24995327,42,8.4,early_11_to_100,24995327,24995325,44,0xd8ed59afca065986a2d023fc7d39d986f49174a8,,false,,,9920000000,1.724925612,7.752404578e-05,1.337232121e-06,drained,1.469966305,0.0001513404117,0.0002224653057,1023171.13,0,0,no_tax,false,false,true,true,true,observed,15.075665,2,5,1,1,-0,-0,24995329,24995329,true,1,0,24995329,24995329,0xd8ed59afca065986a2d023fc7d39d986f49174a8,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,false,0xd8ed59afca065986a2d023fc7d39d986f49174a8,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,false,true,,40,40,40,2,2,2,2,2,2,true,40,0xd8ed59afca065986a2d023fc7d39d986f49174a8,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,false,false,100,,19,19,14,13,0.62172,0.1517536953,0,24995325,24995366,3,0.4318181818,1,0.4699663047,4.096901884,0.9285714286,3,3,19,19,0.3,0.19,0.1578947368,1,0,0,0,current_token_detail_not_time_sliced,recent_block_activity_filtered_to_as_of_block,current_lp_state_has_pre_removal_approval,0xc1c80a3703e2299fa2d6acd92b0ba3b8fcd5b347723fade6355cd968efea1328,true,removal_block=24995369; burn_event_present=True; max_liquidity_before=1.469966305; reserve_ratio_to_max=0.0001513404117
directlp-0009,ethereum,run-2,0x61827b8195f247038fad4061bbeba6c3186faf8d,0xf18bc0969624524c5de6e0f172d8321632e040db,UNISWAP-V2,✨PALA,direct_lp_liquidity_removal,verified,24995382,24995383,24995344,39,7.8,early_11_to_100,24995344,24995342,41,0x2aae5a5d36876220406e2b9345a7496f78cb3dd2,,false,,,8.92e+14,4.07513047,2.655687909e-05,1.082227472e-06,drained,1.874360109,0.0002091364191,0.0003919969612,9.977737984e+10,0,0,no_tax,false,false,true,true,true,observed,6247.452043,2,5,1,1,-0,-0,24995345,24995345,true,1,0,24995345,24995345,0x2aae5a5d36876220406e2b9345a7496f78cb3dd2,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,false,0x2aae5a5d36876220406e2b9345a7496f78cb3dd2,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,false,true,,38,38,38,1,1,1,1,1,1,true,38,0x2aae5a5d36876220406e2b9345a7496f78cb3dd2,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,false,false,100,,26,26,25,25,1.065990981,0.1916308729,0,24995342,24995381,2,0.6341463415,1,0.8743601085,5.562730917,1,5,5,26,26,0.5,0.26,0.1923076923,1,0,0,0,current_token_detail_not_time_sliced,recent_block_activity_filtered_to_as_of_block,current_lp_state_has_pre_removal_approval,0x6c773f969f48ac802ec34c388a8bbada81e90247a1c75097a4db5502f4e603dc,true,removal_block=24995383; burn_event_present=True; max_liquidity_before=1.874360109; reserve_ratio_to_max=0.0002091364191
directlp-0010,ethereum,run-2,0xaed5cf8707ab9b6ba8c8683bc8c509c2f778b23e,0x98faca2068fcab66dd8a1879073fe72e3cd333f5,UNISWAP-V2,🐸LSFG,direct_lp_liquidity_removal,verified,24995407,24995408,24995336,72,14.4,early_11_to_100,24995336,24995334,74,0x954017fff17b34958a1f903ca88f9d6f1aaf7efb,,false,,,8000000000,2.025085401,8.560497994e-05,1.733573951e-06,drained,2.101421651,0.0001867147991,0.0003923665214,712408.5813,0,0,no_tax,false,false,true,true,true,observed,16.7033981,2,5,1,1,-0,-0,24995337,24995337,true,1,0,24995337,24995337,0x954017fff17b34958a1f903ca88f9d6f1aaf7efb,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,false,0x954017fff17b34958a1f903ca88f9d6f1aaf7efb,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,false,true,,71,71,71,1,1,1,1,1,1,true,71,0x954017fff17b34958a1f903ca88f9d6f1aaf7efb,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,false,false,100,,21,21,18,17,1.13607,0.03464834885,0,24995334,24995381,27,0.2837837838,1,1.101421651,32.78857544,0.9444444444,0,0,21,21,0,0.21,0,1,0,0,0,current_token_detail_not_time_sliced,recent_block_activity_filtered_to_as_of_block,current_lp_state_has_pre_removal_approval,0xe781817f4f30b6081c3f43299996c41487974271085586c73beacadc779e8146,true,removal_block=24995408; burn_event_present=True; max_liquidity_before=2.101421651; reserve_ratio_to_max=0.0001867147991
directlp-0011,ethereum,run-2,0x16b16afda8870d78b90161d5cef59049bffa8a7b,0x14e5c5d6167c936cb372a75a1a60b6789d66c9e1,UNISWAP-V2,🚀CRWA,direct_lp_liquidity_removal,verified,24995442,24995443,24995416,27,5.4,early_11_to_100,24995416,24995414,29,0xe4466331d72e231da9ae190716a85a8a0008a959,,false,,,5000000000,0.03068087821,0.01977656635,6.067624235e-06,dust,1.118635943,4.300485244e-05,4.810677368e-05,192319.2898,0,0,no_tax,false,false,true,true,true,observed,3.041033058,2,5,1,1,-0,-0,24995419,24995419,true,1,0,24995419,24995419,0xe4466331d72e231da9ae190716a85a8a0008a959,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,false,0xe4466331d72e231da9ae190716a85a8a0008a959,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,false,true,,24,24,24,3,3,3,3,3,3,true,24,0xe4466331d72e231da9ae190716a85a8a0008a959,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,false,false,100,,11,11,8,7,0.151983,0.03334705669,0,24995414,24995442,1,0.3793103448,1,0.1186359433,4.557613628,0.875,3,3,11,11,0.3,0.11,0.2727272727,1,0,0,0,current_token_detail_not_time_sliced,recent_block_activity_filtered_to_as_of_block,current_lp_state_has_pre_removal_approval,0xede375d071027cf64b3df87c0b4af1c547a03cf31b9d6c457d1860c4a5d5a0df,true,removal_block=24995443; burn_event_present=True; max_liquidity_before=1.118635943; reserve_ratio_to_max=4.300485244e-05
