row_id,row_kind,chain,source_run_id,token,pool,protocol,symbol,target_mechanism,label_block,as_of_block,blocks_before_removal,prediction_horizon_blocks,target_removal_within_horizon,observed_until_block,control_reason,trading_enabled_block,pool_created_block,token_created_block,blocks_since_trading_enabled_as_of,blocks_since_pool_created_as_of,blocks_since_token_created_as_of,creator_address,current_owner,ownership_renounced_current,current_owner_is_zero_address,current_owner_is_creator,token_total_supply_scaled,liquidity_eth_as_of,price_ratio_to_initial_as_of,max_liquidity_eth_before_as_of,liquidity_drawdown_from_peak_as_of,buy_tax_current,sell_tax_current,tax_bucket_current,lp_approval_count_as_of,lp_first_approval_block_as_of,lp_last_approval_block_as_of,lp_last_approval_owner_as_of,lp_last_approval_spender_as_of,lp_last_approval_is_router_as_of,lp_last_approval_owner_is_creator_as_of,lp_last_approval_owner_is_current_owner_as_of,blocks_first_lp_approval_to_as_of,blocks_last_lp_approval_to_as_of,blocks_last_lp_approval_to_removal,lp_approved_holder_count_as_of,lp_approved_spender_count_as_of,lp_router_approval_seen_as_of,lp_max_approval_amount_as_of,lp_approval_feature_scope,activity_blocks_to_as_of,tx_count_to_as_of,token_transfer_count_to_as_of,denom_transfer_count_to_as_of,buy_volume_eth_to_as_of,sell_volume_eth_to_as_of,bribe_eth_to_as_of,first_activity_block_to_as_of,last_activity_block_to_as_of,blocks_since_last_activity_as_of,activity_density_to_as_of,tx_per_active_block_to_as_of,net_buy_volume_eth_to_as_of,buy_sell_volume_ratio_to_as_of,denom_token_transfer_ratio_to_as_of,active_blocks_last_10_as_of,tx_count_last_10_as_of,active_blocks_last_50_as_of,tx_count_last_50_as_of,active_blocks_last_100_as_of,tx_count_last_100_as_of,active_density_last_10_as_of,active_density_last_50_as_of,active_density_last_100_as_of,tx_share_last_10_to_total_as_of,tx_share_last_50_to_total_as_of,tx_share_last_100_to_total_as_of,network_address_count_current,network_node_count_current,network_edge_count_current,network_feature_scope,activity_feature_scope
directlp-window-00001,positive,ethereum,run-2,0xd3244ce6f7cff18b96cf94b00d853898d88eb83b,0x497847f503b95452f0af3c29d6bcf19e858f602f,UNISWAP-V2,PRTAL,direct_lp_liquidity_removal,24995033,24995032,1,1,true,24995033,,24995006,24995006,24994985,26,26,47,0x705612655fb4e528ca8cb051cfca39a0a72dfd9e,0x705612655fb4e528ca8cb051cfca39a0a72dfd9e,false,false,true,100000000,1.5,1,1.5,0,14.72,15,moderate_tax,1,24995006,24995006,0xd3244ce6f7cff18b96cf94b00d853898d88eb83b,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,false,false,false,26,26,27,1,1,false,1.157920892e+59,available_approval_events_filtered_to_as_of_block,3,3,3,1,0,0,0,24994985,24995006,26,0.0625,1,0,,0.3333333333,0,0,3,3,3,3,0,0.06,0.03,0,1,1,0,0,0,current_token_detail_not_time_sliced,recent_block_activity_filtered_to_as_of_block
directlp-window-00002,positive,ethereum,run-2,0xd3244ce6f7cff18b96cf94b00d853898d88eb83b,0x497847f503b95452f0af3c29d6bcf19e858f602f,UNISWAP-V2,PRTAL,direct_lp_liquidity_removal,24995033,24995023,10,10,true,24995033,,24995006,24995006,24994985,17,17,38,0x705612655fb4e528ca8cb051cfca39a0a72dfd9e,0x705612655fb4e528ca8cb051cfca39a0a72dfd9e,false,false,true,100000000,1.5,1,1.5,0,14.72,15,moderate_tax,1,24995006,24995006,0xd3244ce6f7cff18b96cf94b00d853898d88eb83b,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,false,false,false,17,17,27,1,1,false,1.157920892e+59,available_approval_events_filtered_to_as_of_block,3,3,3,1,0,0,0,24994985,24995006,17,0.07692307692,1,0,,0.3333333333,0,0,3,3,3,3,0,0.06,0.03,0,1,1,0,0,0,current_token_detail_not_time_sliced,recent_block_activity_filtered_to_as_of_block
directlp-window-00003,positive,ethereum,run-2,0x39b4222cdb464526ee1ccf45a14a74ca77c6ba51,0x17403fb120e0a1a5e7b1f2f49355a3ac606b3a12,UNISWAP-V3,MERIT,direct_lp_liquidity_removal,24995034,24995033,1,1,true,24995034,,24994998,24994998,24994975,35,35,58,0x7ccde23881f329afafd9ac8f4ed5bc762c80e1b6,0x7ccde23881f329afafd9ac8f4ed5bc762c80e1b6,false,false,true,1e+12,0.3678493391,1.138059958,0.3678493391,0,,,unknown,0,,,,,,,,,,,0,0,false,,available_approval_events_filtered_to_as_of_block,9,9,6,3,0.023266,0,0,24994975,24995018,15,0.1525423729,1,0.023266,,0.5,0,0,7,7,9,9,0,0.14,0.09,0,0.7777777778,1,0,0,0,current_token_detail_not_time_sliced,recent_block_activity_filtered_to_as_of_block
directlp-window-00004,positive,ethereum,run-2,0x39b4222cdb464526ee1ccf45a14a74ca77c6ba51,0x17403fb120e0a1a5e7b1f2f49355a3ac606b3a12,UNISWAP-V3,MERIT,direct_lp_liquidity_removal,24995034,24995024,10,10,true,24995034,,24994998,24994998,24994975,26,26,49,0x7ccde23881f329afafd9ac8f4ed5bc762c80e1b6,0x7ccde23881f329afafd9ac8f4ed5bc762c80e1b6,false,false,true,1e+12,0.3678493391,1.138059958,0.3678493391,0,,,unknown,0,,,,,,,,,,,0,0,false,,available_approval_events_filtered_to_as_of_block,9,9,6,3,0.023266,0,0,24994975,24995018,6,0.18,1,0.023266,,0.5,1,1,9,9,9,9,0.1,0.18,0.09,0.1111111111,1,1,0,0,0,current_token_detail_not_time_sliced,recent_block_activity_filtered_to_as_of_block
directlp-window-00005,positive,ethereum,run-2,0x2c896018d3a353a8ce8542a77b01819a77e4cdd6,0x2db186a601541710d63c96d9613083681bc4b1d0,UNISWAP-V2,BOD,direct_lp_liquidity_removal,24995098,24995097,1,1,true,24995098,,24995009,24995005,24994994,88,92,103,0xa1f48f4f0649cc662263875fafc2cc46200a5d22,,false,,,220000000,2.492046074,1.551170261,2.544911625,0.02077304037,0,98.99,extreme_tax,1,24995094,24995094,0xa1f48f4f0649cc662263875fafc2cc46200a5d22,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,false,true,,3,3,4,1,1,false,1.157920892e+59,available_approval_events_filtered_to_as_of_block,25,74,94,49,0.5949116254,0.1028655519,0,24994994,24995094,3,0.2403846154,2.96,0.4920460735,5.783390205,0.5212765957,1,1,2,2,24,73,0.1,0.04,0.24,0.01351351351,0.02702702703,0.9864864865,0,0,0,current_token_detail_not_time_sliced,recent_block_activity_filtered_to_as_of_block
directlp-window-00006,positive,ethereum,run-2,0x2c896018d3a353a8ce8542a77b01819a77e4cdd6,0x2db186a601541710d63c96d9613083681bc4b1d0,UNISWAP-V2,BOD,direct_lp_liquidity_removal,24995098,24995088,10,10,true,24995098,,24995009,24995005,24994994,79,83,94,0xa1f48f4f0649cc662263875fafc2cc46200a5d22,,false,,,220000000,2.492046074,1.551170261,2.544911625,0.02077304037,0,98.99,extreme_tax,0,,,,,,,,,,,0,0,false,,available_approval_events_filtered_to_as_of_block,24,73,94,49,0.5949116254,0.1028655519,0,24994994,24995050,38,0.2526315789,3.041666667,0.4920460735,5.783390205,0.5212765957,0,0,3,9,24,73,0,0.06,0.24,0,0.1232876712,1,0,0,0,current_token_detail_not_time_sliced,recent_block_activity_filtered_to_as_of_block
directlp-window-00007,positive,ethereum,run-2,0x2c896018d3a353a8ce8542a77b01819a77e4cdd6,0x2db186a601541710d63c96d9613083681bc4b1d0,UNISWAP-V2,BOD,direct_lp_liquidity_removal,24995098,24995048,50,50,true,24995098,,24995009,24995005,24994994,39,43,54,0xa1f48f4f0649cc662263875fafc2cc46200a5d22,,false,,,220000000,2.442046074,1.489639513,2.544911625,0.04042008803,0,98.99,extreme_tax,0,,,,,,,,,,,0,0,false,,available_approval_events_filtered_to_as_of_block,23,72,93,48,0.5449116254,0.1028655519,0,24994994,24995045,3,0.4181818182,3.130434783,0.4420460735,5.297318833,0.5161290323,2,8,22,71,23,72,0.2,0.44,0.23,0.1111111111,0.9861111111,1,0,0,0,current_token_detail_not_time_sliced,recent_block_activity_filtered_to_as_of_block
directlp-window-00008,positive,ethereum,run-2,0x4335dd5f878e44a687ef8f714e61dbdbd2db206d,0xc5624efdc782774ed5260f68b124e59209fee2fa,UNISWAP-V3,INSULIN,direct_lp_liquidity_removal,24995162,24995161,1,1,true,24995162,,24995141,24995141,24995134,20,20,27,0x721fdd9788386e0a25af344c480200d2efb0728a,0x721fdd9788386e0a25af344c480200d2efb0728a,false,false,true,1e+12,0.3712258475,1.00481765,0.3712258475,0,,,unknown,0,,,,,,,,,,,0,0,false,,available_approval_events_filtered_to_as_of_block,4,4,3,2,0.0009,0,0,24995134,24995155,6,0.1428571429,1,0.0009,,0.6666666667,1,1,4,4,4,4,0.1,0.08,0.04,0.25,1,1,0,0,0,current_token_detail_not_time_sliced,recent_block_activity_filtered_to_as_of_block
directlp-window-00009,positive,ethereum,run-2,0x4335dd5f878e44a687ef8f714e61dbdbd2db206d,0xc5624efdc782774ed5260f68b124e59209fee2fa,UNISWAP-V3,INSULIN,direct_lp_liquidity_removal,24995162,24995152,10,10,true,24995162,,24995141,24995141,24995134,11,11,18,0x721fdd9788386e0a25af344c480200d2efb0728a,0x721fdd9788386e0a25af344c480200d2efb0728a,false,false,true,1e+12,0.3703348475,1,0.3703348475,0,,,unknown,0,,,,,,,,,,,0,0,false,,available_approval_events_filtered_to_as_of_block,3,3,2,1,0,0,0,24995134,24995141,11,0.1578947368,1,0,,0.5,0,0,3,3,3,3,0,0.06,0.03,0,1,1,0,0,0,current_token_detail_not_time_sliced,recent_block_activity_filtered_to_as_of_block
directlp-window-00010,positive,ethereum,run-2,0xb8fb4502fd3e98f5f6cc2d5876fcaa4c435932b9,0xebb269a7fd3f3d88e08d13e24fc21dc6e3625884,UNISWAP-V2,👑BR,direct_lp_liquidity_removal,24995280,24995279,1,1,true,24995280,,24995093,24995093,24995090,186,186,189,0x370d6c0b34cf949e9dadb88ecac0e499d6be7337,,false,,,2010000000,1.791773191,3.203012753,1.929578679,0.07141739747,0,0,no_tax,1,24995094,24995094,0x370d6c0b34cf949e9dadb88ecac0e499d6be7337,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,false,true,,185,185,186,1,1,false,44833.02354,available_approval_events_filtered_to_as_of_block,22,22,18,17,0.97385,0.1820768088,0,24995090,24995216,63,0.1157894737,1,0.7917731912,5.348566939,0.9444444444,0,0,0,0,14,14,0,0,0.14,0,0,0.6363636364,0,0,0,current_token_detail_not_time_sliced,recent_block_activity_filtered_to_as_of_block
