review_id,chain,source_run_id,source,token,pool,protocol,symbol,label,mechanism,mechanism_label,confidence,pool_created_block,trading_enabled_block,trading_enabled_source,first_observed_trade_block,first_blocked_block,first_drain_block,label_block,blocks_from_trading_enabled_to_label,minutes_from_trading_enabled_to_label,time_to_scam_bucket,price_ratio_to_initial_at_label,liquidity_eth_at_label,liquidity_level_at_label,can_buy,can_sell,has_observed_buy,has_observed_sell,evidence_block,evidence_tx,evidence_summary,evidence_ref,notes,review_status
scam100-001,ethereum,run-2,token_server_pool_scam_mechanism,0xf23ff4741701f89baa33ebde026499c9e5fd1a51,0x7cbfcc271d1d65432f2d4bd2e8030cee5bb675bf,UNISWAP-V2,Klassic,scammed_pool,pair_balance_backdoor_drain,Backdoored Pair-Balance Drain,verified,24994861,24994861,trading_status.block,24994861,,24994871,24994871,10,2,fast_1_to_10,9.8598406e-05,3.1555958e-05,dust,false,false,true,true,24994871,0x9b0e43a68bb7c2c2738e7e48ee1613d787ffefe53777d74468e1ec0aae92e23f,mechanism=pair_balance_backdoor_drain; drain block=24994871 reserve_ratio_to_max=1.00301e-05 source=reserve_history; pair_token_out_transfer_present=true; sell_failure_present=true; liquidity=3.1556e-05,http://127.0.0.1:40019/eth/tokens/0xf23ff4741701f89baa33ebde026499c9e5fd1a51/?run_id=run-2,Token-centric label from pool scam mechanism; strategy outcome ignored.,draft_needs_manual_review
scam100-002,ethereum,run-2,token_server_pool_scam_mechanism,0xc4acc94ca83dbfced38fd7cbb20dd393bf556a55,0xad9d8015ae3a02660d948bc2b0def2eebd7cdc1e,UNISWAP-V2,meritcoin,scammed_pool,pair_balance_backdoor_drain,Backdoored Pair-Balance Drain,verified,24994857,24994857,trading_status.block,24994857,,24994888,24994888,31,6.2,early_11_to_100,6.5480949e-06,2.5671581e-06,drained,false,false,true,true,24994888,0x075ab95a61bda3ec8dbe04ace61e6bc5900da296365ad883d9e96a1b69395a7e,mechanism=pair_balance_backdoor_drain; drain block=24994888 reserve_ratio_to_max=9.95936e-07 source=reserve_history; pair_token_out_transfer_present=true; sell_failure_present=true; liquidity=2.56716e-06,http://127.0.0.1:40019/eth/tokens/0xc4acc94ca83dbfced38fd7cbb20dd393bf556a55/?run_id=run-2,Token-centric label from pool scam mechanism; strategy outcome ignored.,draft_needs_manual_review
scam100-003,ethereum,run-2,token_server_pool_scam_mechanism,0xabd00c854d377a60d5e7efd3299a60b02c4331c5,0xc41fc95ef5bb09723795f00cf8c93cafe4a0b530,UNISWAP-V2,TrumpIRA,scammed_pool,pair_balance_backdoor_drain,Backdoored Pair-Balance Drain,verified,24994869,24994869,trading_status.block,24994869,,24994910,24994910,41,8.2,early_11_to_100,5.4191493e-06,2.3425375e-06,drained,false,false,true,true,24994910,0x4befa9dd186ab36e4f840f8c6a2ff149fae5df07e90ceff17c549a3373771884,mechanism=pair_balance_backdoor_drain; drain block=24994910 reserve_ratio_to_max=1.00301e-06 source=reserve_history; pair_token_out_transfer_present=true; liquidity=2.34254e-06,http://127.0.0.1:40019/eth/tokens/0xabd00c854d377a60d5e7efd3299a60b02c4331c5/?run_id=run-2,Token-centric label from pool scam mechanism; strategy outcome ignored.,draft_needs_manual_review
scam100-004,ethereum,run-2,token_server_pool_scam_mechanism,0x141d4202ee63097559c793f75111b53c7ade4c10,0x3697b61eb33574ba2686006d814fd4dd80a9f3b4,UNISWAP-V2,meritcoin,scammed_pool,pair_balance_backdoor_drain,Backdoored Pair-Balance Drain,verified,24994840,24994840,trading_status.block,24994840,,24994913,24994913,73,15,early_11_to_100,7.4584414e-05,2.741301e-05,dust,false,false,true,true,24994913,0xb530378b3185562f990984cb7f9495e5febeb14e07dd04977455a49ce211d36b,mechanism=pair_balance_backdoor_drain; drain block=24994913 reserve_ratio_to_max=8.42762e-06 source=reserve_history; pair_token_out_transfer_present=true; sell_failure_present=true; liquidity=2.7413e-05,http://127.0.0.1:40019/eth/tokens/0x141d4202ee63097559c793f75111b53c7ade4c10/?run_id=run-2,Token-centric label from pool scam mechanism; strategy outcome ignored.,draft_needs_manual_review
scam100-005,ethereum,run-2,token_server_pool_scam_mechanism,0x5a8c0eab6889bac0dd5efd3eaf91674a81d5e86e,0xa9399c2e0ccd96edc134597d856d8d5810c8316a,UNISWAP-V2,MERIT,scammed_pool,pair_balance_backdoor_drain,Backdoored Pair-Balance Drain,verified,24994822,24994822,trading_status.block,24994822,,24994933,24994933,111,22,delayed_101_to_1000,4.3764915e-05,1.3746737e-05,dust,false,false,true,true,24994933,0x2ea0089f7a07da3c6bd44ed27326ea556a7c0c07721122ea67768f919aebc94f,mechanism=pair_balance_backdoor_drain; drain block=24994933 reserve_ratio_to_max=7.58186e-07 source=reserve_history; pair_token_out_transfer_present=true; sell_failure_present=true; liquidity=1.37467e-05,http://127.0.0.1:40019/eth/tokens/0x5a8c0eab6889bac0dd5efd3eaf91674a81d5e86e/?run_id=run-2,Token-centric label from pool scam mechanism; strategy outcome ignored.,draft_needs_manual_review
scam100-006,ethereum,run-2,token_server_pool_scam_mechanism,0xd3244ce6f7cff18b96cf94b00d853898d88eb83b,0x497847f503b95452f0af3c29d6bcf19e858f602f,UNISWAP-V2,PRTAL,scammed_pool,direct_lp_liquidity_removal,Direct LP Liquidity Removal,verified,24995006,24995006,trading_status.block,24995006,,24995033,24995033,27,5.4,early_11_to_100,0.9969112,3.873e-15,drained,false,false,false,false,24995033,0xe702229be82a554a0c91bc2f30059e4cd442f5c02916fdf27988c9cb27115e45,mechanism=direct_lp_liquidity_removal; drain block=24995033 reserve_ratio_to_max=2.582e-15 source=reserve_history; burn_event_present=true; liquidity=3.873e-15,http://127.0.0.1:40019/eth/tokens/0xd3244ce6f7cff18b96cf94b00d853898d88eb83b/?run_id=run-2,Token-centric label from pool scam mechanism; strategy outcome ignored.,draft_needs_manual_review
scam100-007,ethereum,run-2,token_server_pool_scam_mechanism,0x39b4222cdb464526ee1ccf45a14a74ca77c6ba51,0x17403fb120e0a1a5e7b1f2f49355a3ac606b3a12,UNISWAP-V3,MERIT,scammed_pool,direct_lp_liquidity_removal,Direct LP Liquidity Removal,verified,24994998,24994998,trading_status.block,24994998,,24995034,24995034,36,7.2,early_11_to_100,,0,drained,false,false,true,false,24995034,0x8f4f769de07987a0b21b6b1ade03bd67e7913eaafb09c597c7fa5e485026ceb1,mechanism=direct_lp_liquidity_removal; drain block=24995034 reserve_ratio_to_max=0 source=reserve_history; burn_event_present=true; sell_failure_present=true; liquidity=0,http://127.0.0.1:40019/eth/tokens/0x39b4222cdb464526ee1ccf45a14a74ca77c6ba51/?run_id=run-2,Token-centric label from pool scam mechanism; strategy outcome ignored.,draft_needs_manual_review
scam100-008,ethereum,run-2,token_server_pool_scam_mechanism,0x2c896018d3a353a8ce8542a77b01819a77e4cdd6,0x2db186a601541710d63c96d9613083681bc4b1d0,UNISWAP-V2,BOD,scammed_pool,direct_lp_liquidity_removal,Direct LP Liquidity Removal,verified,24995005,24995009,trading_status.block,24995009,,24995098,24995098,89,18,early_11_to_100,1.5511703,0.00018772588,dust,false,false,true,true,24995098,0x3aaf36eb0541265d379d15a60e9e6922da59eec91c556d3ca5715b943baeb703,mechanism=direct_lp_liquidity_removal; drain block=24995098 reserve_ratio_to_max=7.37652e-05 source=reserve_history; burn_event_present=true; liquidity=0.000187726,http://127.0.0.1:40019/eth/tokens/0x2c896018d3a353a8ce8542a77b01819a77e4cdd6/?run_id=run-2,Token-centric label from pool scam mechanism; strategy outcome ignored.,draft_needs_manual_review
scam100-009,ethereum,run-2,token_server_pool_scam_mechanism,0xf85699c6a22c40d8d38129657920b0852738318c,0x000000000004444c5dc75cb358380d2e3de08a90#0xa69da72727f2e6d9007d4ae35df7e4ab32a498152f22b1bec677025ef420c50a,UNISWAP-V4,DePEG,scammed_pool,unknown_reserve_drain,Unknown Reserve Drain,probable,24995055,24995055,pool_creation_fallback,24995055,,24995140,24995140,85,17,early_11_to_100,,0,drained,false,false,false,true,24995140,0x5308f8084100193df1a4f122fc595511238ab21a32427ec4c7257e782e2f0c11,mechanism=unknown_reserve_drain; drain block=24995140 reserve_ratio_to_max=0 source=reserve_history; sell_failure_present=true; liquidity=0,http://127.0.0.1:40019/eth/tokens/0xf85699c6a22c40d8d38129657920b0852738318c/?run_id=run-2,Token-centric label from pool scam mechanism; strategy outcome ignored.,draft_needs_manual_review
scam100-010,ethereum,run-2,token_server_pool_scam_mechanism,0x4335dd5f878e44a687ef8f714e61dbdbd2db206d,0xc5624efdc782774ed5260f68b124e59209fee2fa,UNISWAP-V3,INSULIN,scammed_pool,direct_lp_liquidity_removal,Direct LP Liquidity Removal,verified,24995141,24995141,pool_creation_fallback,24995141,,24995162,24995162,21,4.2,early_11_to_100,,0,drained,false,false,true,false,24995162,0x161874aa8c0b38ac588234945c0bd1d5f22fc5dfa469f9a477a36b38fc57e9e4,mechanism=direct_lp_liquidity_removal; drain block=24995162 reserve_ratio_to_max=0 source=reserve_history; burn_event_present=true; sell_failure_present=true; liquidity=0,http://127.0.0.1:40019/eth/tokens/0x4335dd5f878e44a687ef8f714e61dbdbd2db206d/?run_id=run-2,Token-centric label from pool scam mechanism; strategy outcome ignored.,draft_needs_manual_review
